asset_id,modality,species,source_path_or_accession,subset_rule,observational_unit,n_observations,checksum_or_version,used_by_panel,status,notes
DATA001,scRNA-seq,human,"F:\多组学分析skills\人创面","Human epithelialization scRNA object; confirm object named in QC workflow","cell",279305,"Live-audit snapshot 2026-07-21",Figure1B;FigureS1B-D;TableS1,Verified,"38 sample IDs; 23 patient IDs in current object; 316194 cells before filtering; 47 states"
DATA002,Stereo-seq,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\combined_16samples_Harmony_Clustered_Fixed.h5ad","Strictly subset to the 11 sample IDs registered by epithelialization-dataset-router","cell bin",387061,"Router check 2026-07-22",Figure1C-F;FigureS1E-G;TableS1,Verified,"Do not infer 16 samples from filename; exclude 6mph and 9mph from epithelialization Figure1F"
DATA003,10x Visium,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\10X visium\pdf_output","Exactly 2 registered Visium sections","spot",4449,"Live-audit snapshot 2026-07-21",FigureS1A;TableS1,Verified,"Report separately from Stereo-seq bins"
DATA004,clinical metadata,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260422rebuttal\联系编辑\Figure1_Supplement_QC_20260721\cohort_metadata.csv","38 scRNA rows plus 11 Stereo rows plus 2 Visium rows","molecular sample/section row",51,"Audit snapshot 2026-07-21",Figure1A;FigureS1A;TableS1,Partially verified,"This table does not itself verify 49 unique patients"
DATA005,figure source deck,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260422rebuttal\20260721-上皮化文章拼图.pptx","Slide 2 only for Figure1","slide",1,"Inspected 2026-07-22",Figure1A-F,Verified,"Partly editable; 14 embedded images; source slide displays N=49"
DATA006,analysis code,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\所有切片整合注释_白底版.py","Use only registered epithelialization sample IDs","script",1,"Inspected 2026-07-22",Figure1C-E;FigureS1E-G,Verified,"Existing panel-generation source"
DATA007,analysis code,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\最终可视化代码.py","Remove 6mph and 9mph from Figure1F and recompute section-level summaries","script",1,"Inspected 2026-07-22",Figure1D-F,Needs revision,"Current temporal order includes out-of-scope 6mph and 9mph"
DATA008,reference style,NA,"F:\重点网课\空转参考文献\Injury-induced-Clusterin-cardiomyocytes-suppress-inflammation-and-promote-regeneration-in.pdf","Use visual grammar only; do not copy content","PDF page",36,"Inspected 2026-07-22",Figure1;FigureS1,Verified,"Reference supports A4 page, compact labels, Arial-like sans serif, whitespace and italic gene symbols"
DATA009,supplement workbook,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260422rebuttal\联系编辑\Figure1_Supplement_QC_20260721\Table_S1_Human_Cohort_Markers_Figure1_Resources.xlsx","Update cohort linkage after clinical-master confirmation","workbook",1,"Existing 8-sheet workbook",TableS1,Partially verified,"Contains cohort metadata, markers, mapping parameters, gene sets, QC, source registry and missing metadata"
DATA010,supplement figures,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260422rebuttal\联系编辑\Figure1_Supplement_QC_20260721","Use existing S1A-G as source panels; rebuild composite","panel set",7,"Inspected 2026-07-22",FigureS1,Verified,"S1E should use representative sections in composite; preserve all-11 QC as extended output"
DATA011,fluorescence imaging,human,"A:\JSZBS\烧伤图谱单细胞最终版\文章\20231121\figure3_FIB相关图片\20231117免疫荧光验证思路.pptx","SAC, myeloid and ACTA2-positive fibroblast pathway validation; not a four-mode morphology series","slide/image",6,"Inspected 2026-07-22",Later mechanism figures,Verified but out of scope,"Not used in Figure1A because the experimental claim does not match the four healing-mode classification"
DATA012,H&E histology,human,"A:\JSZBS\烧伤图谱单细胞最终版\文章\20231123\HE汇报20231115.pptx","Audit candidate H&E sections by time point and superficial/deep injury; select only specimens traceable to each displayed mode","slide",13,"Inspected 2026-07-22",Figure1A;FigureS1A,Verified source candidate,"Slides 4-9 show superficial/deep samples at approximately 6, 12 and 19 days; the deck alone does not constitute a complete one-to-one four-mode series"
