figure,panel,linked_supplement,current_content,scientific_claim,source_asset,subset_rule,observational_unit,n_observations,transformation_or_test,reviewer_request,planned_action,legend_status,code_status,owner,status,notes
"Figure2","A","FigureS2A-B","Three equal-sized spatial trajectory rows","Spatial distributions of SAC_SG_Dark; SAC_SG_Progenitor; KC_Spinous_Mig","inputs/raw_panels/from_slide3/image15.png; image16.png; image17.png","Representative wound sections as supplied","Spatial bins","As displayed","Matched sizes and clearer layout","Retain panel; equalize row dimensions","Draft aligned","Source images linked","Author/Codex","Complete","No panel redefinition"
"Figure2","B","FigureS2A-B","19dpb_p1 regional enrichment","KC_Spinous_Mig and Fib_K14 are positive-enriched at Epi-Front","source_data/Figure2B_S2AB_19dpb_p1_region_enrichment.csv","19dpb_p1; three anchor-defined regions","Stereo-seq bins","47042","Log2 enrichment from categorical labels","Improve clarity","Use reproducible enrichment chart","Draft aligned","Reproducible","Author/Codex","Complete","SAC_SG_Progenitor is not Epi-Front enriched"
"Figure2","C","FigureS2C-E","Orthogonal trajectory projections","Centroid trajectories across time; front distance; depth","panels/Figure2C_orthogonal_trajectories.svg","Prespecified three cell states","Trajectory centroids","As supplied by trajectory source","Orthogonal projections","2C is unattractive","Replace perspective rendering with matched orthogonal views","Draft aligned","Reproducible assembly","Author/Codex","Complete","Dimensions retained; visual encoding changed"
"Figure2","D","FigureS2C-E","12dpb and 19dpb spatial maps","Spatial co-distribution of target states","inputs/raw_panels/from_slide3/image29.png; image28.png","Representative supplied sections","Stereo-seq bins","As displayed","Spatial mapping","Clear spacious presentation","Retain and align maps","Draft aligned","Source images linked","Author/Codex","Complete","Co-distribution wording avoids unsupported cellular co-localization"
"Figure2","E","FigureS2A-B","Fib_K14 regional proportions","Fib_K14 proportion is highest at Epi-Front in 19dpb_p1","source_data/Figure2E_Fib_K14_region_proportions.csv","Same 19dpb_p1 section as panel B","Stereo-seq bins","47042","Two-sided Fisher exact tests; BH correction","Align evidence and panel B","Regenerate from same section","Draft aligned","Reproducible","Author/Codex","Complete","Bins are analytical units; not biological replicates"
"Figure2","F","FigureS2F-G","Two multiplex IF series plus enlarged quantification","Temporal human-wound marker staining","inputs/raw_panels/from_slide3/image22.png; image25.png","Temporal specimens as supplied","Images/cells as supplied","Not recoverable from raster alone","Bottom graphs larger; comparable sizes","Enlarge quantification and place beside images","Draft aligned","Raster source linked","Author/Codex","Complete","External label corrected to KRT77/SCGB2A2/S100A7; pixel-embedded typo remains"
"FigureS2","A","Figure2B","All-state regional enrichment heat map","Regional enrichment across all annotations","source_data/Figure2B_S2AB_19dpb_p1_region_enrichment.csv","19dpb_p1; three regions","Stereo-seq bins","47042","Log2 enrichment","Fixed panel definition","Generate full heat map","Draft aligned","Reproducible","Author/Codex","Complete","Significance not inferred from biological replicates"
"FigureS2","B","Figure2B","Target-state enrichment bars","Regional enrichment of three target states","source_data/Figure2B_S2AB_19dpb_p1_region_enrichment.csv","19dpb_p1; three regions","Stereo-seq bins","47042","Log2 enrichment","Fixed panel definition","Generate matched bar plots","Draft aligned","Reproducible","Author/Codex","Complete","Observed direction retained"
"FigureS2","C","Figure2D","Fib_K14 vs KC_Spinous_Mig mapping-score correlation","Current object shows negative Pearson correlation","source_data/FigureS2CD_EpiFront_mapping_scores.csv","Epi-Front bins in 19dpb_p1","Stereo-seq bins","9595","Two-sided Pearson correlation","Fixed panel definition","Plot exact result and flag prose conflict","Draft aligned","Reproducible","Author/Codex","Complete","r=-0.268; P=7.85e-158"
"FigureS2","D","Figure2D","Fib_K14 vs SAC_SG_Progenitor mapping-score correlation","Current object shows near-zero negative Spearman correlation","source_data/FigureS2CD_EpiFront_mapping_scores.csv","Epi-Front bins in 19dpb_p1","Stereo-seq bins","9595","Two-sided Spearman correlation","Fixed panel definition","Plot exact result and flag prose conflict","Draft aligned","Reproducible","Author/Codex","Complete","rho=-0.024; P=0.019"
"FigureS2","E","Figure2D","Observed versus permuted nearest-neighbor distances","Current labels do not support preferential proximity","source_data/FigureS2E_nearest_neighbor_summary.csv","19dpb_p1 categorical labels","Target-labeled bins/permutations","Recorded in source table","Label-permutation analysis","Fixed panel definition","Plot exact result and flag prose conflict","Draft aligned","Reproducible","Author/Codex","Complete","Observed distances are longer than permuted expectations"
"FigureS2","F","Figure2F","Matched 0-day baseline multiplex IF controls","Baseline staining for both marker programs","inputs/experimental/staining_slide1_composite.png; inputs/experimental/staining_slide2_composite.png","S-0d and D-0d Merge fields; two supplied fields per condition","Microscopy fields","8 fields","Descriptive imaging; crop only","Keep fixed panel","Use matched baseline controls","Evidence aligned","Experimental source linked","Author/Codex","Complete","No recoloring; source pixels preserved"
"FigureS2","G","Figure2F","Healthy versus Epi-Front quantification not submission-ready","Comparison requires raw counts and biological replicates","Source not located","Healthy skin versus Epi-Front","Biological specimens","Unknown","Prespecified inferential comparison","Keep fixed panel","Retain explicit raw-data-required notice","Pending source","Blocked","Author/statistician","Blocked","Counts; denominators; replicate IDs and test required"
