asset_id,modality,species,source_path_or_accession,subset_rule,observational_unit,n_observations,checksum_or_version,used_by_panel,status,notes
DATA001,Stereo-seq,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\combined_16samples_Harmony_Clustered_Fixed.h5ad","explicit registered 11 sample IDs only","bin/cell and section","live object; exact project total not recomputed here",local file,Figure5A-D;FigureS5A-D,Verified path,"filename count does not define project scope"
DATA002,Stereo-seq reanalysis,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\spatiotemporal_omics_19dpb_IGFL1_IGFLR1_Figure5_20260715","19dpb + 19dpb_p1","bin and section","87482 bins; 2 sections",2026-07-15,Figure5A-D;FigureS5A-B;FigureS5F,Verified,"auditable tables copied to source_data"
DATA003,spatial derivatives,human,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\时空组学\stereoseq\pdf_output\IGFL1_IGFLR1_AllSlices_Spatial_CoLocalization_White","explicit registered 11 IDs only","section","up to 11 project sections",local derivatives,FigureS5D,Verified path,"exclude unregistered 6mph/9mph outputs"
DATA004,multiplex IF,human,"inputs\raw_panels\from_slide7\image58.png","19 and 26 dpb shown","specimen/field","unknown",PPT-extracted raster,Figure5E;FigureS5E,Provenance incomplete,"need raw channels and specimen/field metadata"
DATA005,in-vitro qPCR and KRT14 IF,primary cells,"F:\20250325cell背靠背拒稿\20251214上皮化\20260313重新拼图\范师兄图片\Figure 4 IGFL1细胞实验.ai","PBS/0.1 ug/1 ug IGFL1 as displayed","independent experiment","unknown",PDF-compatible AI,Figure5F-G;FigureS5H-I,Summary-only,"need replicate-level source data"
DATA006,morphology,primary cells,NOT LOCATED,"IGFL1 vs control","cell nested in experiment","unknown",NA,Figure5H;FigureS5J,Missing,"need raw images and morphometry table"
DATA007,viability/proliferation,primary cells,NOT LOCATED,"tested IGFL1 doses","independent experiment","unknown",NA,FigureS5G,Missing,"need CCK-8/EdU raw table"
DATA008,RNA-seq,primary cells,NOT LOCATED,"IGFL1 vs control","biological replicate","unknown",NA,FigureS5K-L,Missing,"need counts/metadata or DE and GSEA result tables"
DATA009,CellChat/CellPhoneDB,human,NOT LOCATED,"Epi-Front populations","section/donor","unknown",NA,FigureS5C,Missing,"need method-specific object and code"
DATA010,current composite,mixed,"inputs\current\Figure5_current_composite.png","current draft only","panel image",A-H only,current screenshot,all Figure5 panels,Verified,"H is placeholder; I absent"
