figure,panel,linked_supplement,current_content,scientific_claim,source_asset,subset_rule,observational_unit,n_observations,transformation_or_test,reviewer_request,planned_action,legend_status,code_status,owner,status,notes
Figure5,A,S5A-S5C,"three regional networks","Fib_K14 Epi-Front neighborhood","reanalysis tables + combined H5AD","19dpb and 19dpb_p1; registered samples only","Stereo-seq bin; inference at sample/section level","87482 bins; 2 sections","spatial NN permutation by section","similar panel size; Arial 8-14 pt","replace old network with descriptive map and section-level NN result","requires scientific rewrite","reanalysis output available",Codex,"Blocked: approval","old script floors selected edges to >=0.05; reproducible NN result is ns in all territories"
Figure5,B,S5B-S5C,"co-localization heatmap","IGFL1-IGFLR1 candidate sender-receiver enrichment","Figure5C_LR_sender_receiver_permutation.tsv","Epi-Front; registered 19dpb sections","section/stratified permutation","2 sections pooled in audit","permutation with FDR","same-size communication panel","replace identity-mismatched heatmap with LR score panel","draft after rewrite","table available",Codex,"Ready with caveat","supports candidate inference; does not prove direct engagement"
Figure5,C,S5A-S5D,"LR gene dynamics heatmaps","IGFL1 source and IGFLR1 receiver expression","gradient and receiver-expression tables","registered 19dpb sections","Stereo-seq bin; effect size reported","KC_Spinous_Mig n=6752; Fib_K14 n=17693","Spearman/FDR and Wilcoxon/FDR","gene symbols italic","split into compact gradients plus receptor-expression summary","requires scientific rewrite","tables available",Codex,"Blocked: approval","x-axis effect is small; KC surface-axis association is not significant"
Figure5,D,S5D,"IGFL1/IGFLR1 spatial maps","spatial adjacency in repair region","Figure5E spatial feature output + correlation table","registered 19dpb sections","spatial bin/aggregated neighborhood","107 aggregated bins","spatial correlation permutation","clear spatial maps","retain maps; label adjacency descriptive and report ns","requires scientific rewrite","vector PDF available",Codex,"Blocked: approval","correlation=-0.0562; permutation P=0.703"
Figure5,E,S5E-S5F,"19/26 dpb multiplex IF","qualitative proximity of marker-defined populations","slide7 image58.png","19 and 26 dpb wound specimens","biological specimen/field","not documented","qualitative microscopy only","equal image dimensions; scale bars","retain/restyle without inferential proximity claim","provisional","raster source only",User,"Missing provenance","raw channels, specimen n and field-selection record absent"
Figure5,F,S5G-S5H,"IGFL1 dose qPCR","epithelial-associated transcriptional response","experimental AI preview/image55","primary fibroblast-lineage cultures","independent culture/experiment","not documented","dose-response test requires raw replicate values","Arial; gene symbols italic","retain as provisional; rebuild from raw table","locked claim unsupported","raw table missing",User,"Blocked: source data","bar heights/error bars alone cannot recover exact test or n"
Figure5,G,S5I,"KRT14/GFP IF and bar","increased KRT14-positive fraction among GFP-positive cells","experimental AI preview/image55","IGFL1 vs PBS","independent culture/field","appears n=3; not verified","two-group test requires raw replicate values","pair image with quantification","retain microscopy; rebuild quantification when data supplied","provisional","raw counts missing",User,"Blocked: source data","existing stars cannot be independently verified"
Figure5,H,S5J,"Chinese placeholder","epithelial-like morphologic remodeling","none located","IGFL1 vs control","independent cell/culture","unknown","mixed-effects or experiment-level summary preferred","replace placeholder; show morphology clearly","replace with microscopy plus experiment-aware morphometry","keep panel identity","source absent",User,"Blocked: source data","need morphology images and per-cell table with experiment IDs"
Figure5,I,S5M,"absent","integrated IGFL1-IGFLR1-KLF4 model","none","evidence-aligned model only","conceptual synthesis","NA","no statistical test","clean mechanism diagram","design only after scientific-claim approval","keep panel identity","not started",User/Codex,"Blocked: approval","must distinguish observed association from proposed mechanism"
FigureS5,A,Figure5C,"absent","IGFLR1 enriched in Fib_K14","FigureS5A_C_IGFLR1_FibK14_wilcoxon.tsv","fibroblast subclusters; registered analysis","single cell/bin with donor caveat","Fib_K14 n=17693","Wilcoxon with FDR; effect size","A4 portrait; Arial 8-14 pt","generate violin/summary; UMAP needs scRNA object mapping","provisional","summary table available",Codex,"Partially ready","mean 0.0519 vs 0.0253; FDR 5.38e-22; avoid pseudoreplication language"
