figure,panel,linked_supplement,current_content,scientific_claim,source_asset,subset_rule,observational_unit,n_observations,transformation_or_test,reviewer_request,planned_action,legend_status,code_status,owner,status,notes
Figure6,A,FigureS6A-D,"Cross-context Fib_K14-like density maps","Fib_K14-like program is detectable across listed repair/regeneration contexts",inputs/current/Figure6AB_cross_species_current.png,"As embedded in 20260712 master PPT; exact source object unresolved","cells or mapped observations; exact unit unresolved",unresolved,"Density visualization; scoring rule unresolved","A4; Arial 8-14 pt; similar panel sizes; clear spacing",retain_and_source_trace,"CONFLICT: supplied legend describes transcriptional correlation rather than displayed density maps",layout code complete; upstream analysis code unresolved,authors,blocked,"Do not infer sample size from points"
Figure6,B,FigureS6E,"Fib_K14-like positive proportions","Displayed proportions differ across paired contexts",inputs/current/Figure6AB_cross_species_current.png,"As embedded in 20260712 master PPT","cells or mapped observations; exact denominator unresolved",unresolved,"Significance brackets shown; exact tests and n unresolved","A4; Arial 8-14 pt; readable",retain_and_recompute,"CONFLICT: supplied legend describes ortholog comparison rather than displayed proportions",layout code complete; statistics code unresolved,authors,blocked,"Rat adult 7.80%; reindeer velvet 4.09% vs back 4.69%; exact inferential units required"
Figure6,C,FigureS6C-E,"Rat E16.5 6H; P5 3D; Adult 10d spatial projections plus regional bars","Rat Fib_K14-like activity is spatially enriched near wound-facing regions",inputs/current/Figure6CD_spatial_current.png,"Rat sections displayed in source composite","spatial cells/bins/spots; exact platform unit unresolved",unresolved,"Density projection; regional bar chart; exact test unresolved","Preserve scale bars and orientation",retain_and_source_trace,"CONFLICT: supplied legend describes dot plots",layout code complete; upstream analysis code located but not yet panel-matched,authors,blocked,"Percentages displayed: 2.21%; 6.89%; 5.46%"
Figure6,D,FigureS6C-E,"Planarian 0 h; 36 h; 3 d; 5 d spatial projections","Signature is margin-associated early and decreases by day 5",inputs/current/Figure6CD_spatial_current.png,"Four displayed planarian time points","spatial cells/bins/spots; exact unit unresolved",unresolved,"Density projection; no inferential statistic displayed","Preserve scale bars and orientation",retain_and_source_trace,"CONFLICT: supplied legend describes rat spatial projection",layout code complete; source object unresolved,authors,blocked,"Spatial percentages 0.70%; 0.78%; 0.63%; 0.18% differ from Figure6B 0.73%; 0.84%; 0.67%; 0.19% and must remain modality-specific"
Figure6,E,FigureS6E,"KLF4 orthology; expression prevalence; linked targets","A KLF4-associated Fib_K14-like program is partially conserved in mammals",inputs/current/Figure6E_KLF4_current.png,"Human; rat; reindeer panels as displayed","protein sequence and cells; exact cell denominators unresolved",unresolved,"Protein distance; prevalence; partial Spearman rho with FDR","Readable and visually balanced",retain_and_recompute,"CONFLICT: supplied legend describes additional-model spatial projections",layout code complete; statistics code unresolved,authors,blocked,"60/124 significant; EPCAM marked n.d.; exact multiple-testing method needed"
Figure6,F,FigureS6F-L,"Dual-recombinase strategy and in vivo wound evidence","Cells activating both fibroblast-lineage and epithelial promoters arise after injury",UNRESOLVED,"Krt14-CreER;Pdgfra-DreER experiment","animals/sections/cells; hierarchy unresolved",unresolved,"Exact test and P value unresolved","Replace placeholder with experimental evidence",blocked,"Supplied legend claim cannot be supported by available files",placeholder only,authors,blocked,"Need construct schematic; controls; representative images; Z-stacks; animal-level quantification; exact P value"
Figure6,G,FigureS6F-L,"Integrated evidence-strength-coded model","Injury-associated Fib_K14 epithelial-like plasticity is associated with re-epithelialization",outputs/vector/Figure6G_mechanism_v01_editable.svg,"Claims limited to supplied Results","conceptual model",NA,"Solid=perturbation-supported; dashed=inferred/associated","Mechanism figure; Arial 8-14 pt; spacious",replace_with_cautious_vector,"Proposed reconciliation; requires author approval",editable SVG and rebuild code complete,authors,pending_approval,"Does not claim complete fibroblast-to-keratinocyte conversion or epidermal incorporation"
FigureS6,A,Figure6A,"Ortholog-mapping workflow",Ortholog conversion supports shared reference space,UNRESOLVED,"Human/rat/reindeer/Acomys/planarian","genes and mapping records",unresolved,"Mapping rules and ambiguity audit required","One-page A4 supplement",blocked,Source absent,layout blueprint complete,authors,blocked,"Need mapping table and code"
FigureS6,B,Figure6A,"Cross-species co-embedding UMAP",Biological state should not be confounded by dataset origin,UNRESOLVED,"Fibroblast-lineage integrated object","cells",unresolved,"Integration method and mixing metric required","One-page A4 supplement",blocked,Source absent,layout blueprint complete,authors,blocked,"Need integrated object and embedding coordinates"
FigureS6,C,Figure6A-D,"Conserved-marker dot plot",Representative Fib_K14-like markers recur across contexts,UNRESOLVED,"Listed species/contexts","cells",unresolved,"Expression fraction and scaled expression definitions required","One-page A4 supplement",blocked,Source absent,layout blueprint complete,authors,blocked,"Need matrix and marker registry"
